species,y,x
Rusa unicolor,14.213641,101.452467
Rusa unicolor,14.455683,101.229232
Rusa unicolor,14.422572,101.280338
Rusa unicolor,14.538444,101.292037
Rusa unicolor,14.57641,101.320803
Rusa unicolor,14.448884,101.371943
Rusa unicolor,14.508492,101.356368
Rusa unicolor,14.230603,101.260008
Rusa unicolor,14.476272,101.356403
Rusa unicolor,14.369069,101.509789
Rusa unicolor,14.483943,101.362773
Rusa unicolor,14.594586,101.377993
Rusa unicolor,14.422799,101.340776
Rusa unicolor,14.474215,101.212159
Rusa unicolor,16.213098,101.509019
Rusa unicolor,14.332465,101.206509
Rusa unicolor,12.016936,99.73811
Rusa unicolor,14.468152,101.352884
Rusa unicolor,14.467016,101.34812
Rusa unicolor,14.593768,101.247905
Rusa unicolor,15.61308,99.392253
Rusa unicolor,14.560014,101.333464
Rusa unicolor,14.519899,101.281821
Rusa unicolor,14.587193,101.395188
Rusa unicolor,14.520741,101.371929
Rusa unicolor,10.481886,99.011962
Rusa unicolor,14.552225,101.278344
Rusa unicolor,14.405703,101.225916
Rusa unicolor,14.30514,101.562805
Rusa unicolor,14.593244,101.333041
Rusa unicolor,14.465236,101.21286
Rusa unicolor,14.30353,101.402499
Rusa unicolor,14.533929,101.30771
Rusa unicolor,14.406877,101.29057
Rusa unicolor,14.379909,101.22155
Rusa unicolor,14.405835,101.368059
Rusa unicolor,14.563542,101.272731
Rusa unicolor,14.430485,101.287302
Rusa unicolor,14.403719,101.30042
Rusa unicolor,14.215356,101.51423
Rusa unicolor,14.41557,101.254923
Rusa unicolor,14.426254,101.387985
Rusa unicolor,14.483052,101.364987
Rusa unicolor,14.530816,101.263552
Rusa unicolor,14.387066,101.419334
Rusa unicolor,14.519553,101.283979
Rusa unicolor,14.438702,101.378386
Rusa unicolor,14.566517,101.389262
Rusa unicolor,14.595784,101.309423
Rusa unicolor,14.435511,101.212764
Rusa unicolor,14.46063,101.206549
Rusa unicolor,14.574455,101.237585
Rusa unicolor,10.425926,99.119381
Rusa unicolor,10.55978,99.04866
Rusa unicolor,10.560656,99.069579
Rusa unicolor,14.451161,101.244256
Rusa unicolor,14.294401,101.4867
Rusa unicolor,14.565433,101.347842
Rusa unicolor,9.262885,98.641798
Rusa unicolor,14.50717,101.495056
Rusa unicolor,14.45883,101.374448
Rusa unicolor,9.098545,98.621928
