species,BIO1,BIO12,x,y
Peromyscus maniculatus,0.140132894,-0.293523163,-122.5576617,45.33647248
Peromyscus maniculatus,-0.248001364,0.411180381,-87.65077167,41.50421248
Peromyscus maniculatus,1.153594567,-0.826455218,-116.8092717,34.29789748
Peromyscus maniculatus,0.959527438,-0.209839617,-121.7662167,36.67223248
Peromyscus maniculatus,-0.765513707,-0.795624438,-103.2713967,44.00351248
Peromyscus maniculatus,-1.13208495,-0.073303305,-73.23814167,43.67027248
Peromyscus maniculatus,-0.291127392,-0.05128132,-123.0991767,45.54474748
Peromyscus maniculatus,-2.727748009,-1.262490536,-109.9361967,45.04488748
Peromyscus maniculatus,-0.334253421,0.424393572,-80.61107667,40.17125248
Peromyscus maniculatus,-1.28302605,-0.086516497,-72.57166167,44.00351248
Peromyscus maniculatus,0.700771266,-0.02045054,-121.6829067,36.17237248
Peromyscus maniculatus,1.714232939,-0.443272666,-117.2674767,33.79803748
Peromyscus maniculatus,1.282972652,-0.161391248,-120.8081517,35.46423748
Peromyscus maniculatus,-0.334253421,0.279048467,-86.52608667,43.62861748
Peromyscus maniculatus,0.140132894,-0.253883589,-122.4743517,47.46087748
Peromyscus maniculatus,0.614519209,-0.3904199,-123.6406917,40.96269748
Peromyscus maniculatus,-1.13208495,-0.223052809,-69.65581167,44.54502748
Peromyscus maniculatus,-0.614572607,-1.103932239,-119.7251217,39.37980748
Peromyscus maniculatus,-0.765513707,0.014784638,-72.98821167,44.33675248
Peromyscus maniculatus,0.873275381,-0.32875834,-122.9742117,38.42174248
Peromyscus maniculatus,0.140132894,-0.249479191,-123.5157267,43.12875748
Peromyscus maniculatus,1.757358967,-0.496125432,-117.6840267,33.92300248
Peromyscus maniculatus,-0.636135621,0.058828609,-85.94291667,44.91992248
Peromyscus maniculatus,-0.118623278,0.662231019,-82.48555167,35.58920248
Peromyscus maniculatus,-2.274924709,-1.183211387,-113.8101117,48.66887248
Peromyscus maniculatus,-0.269564378,0.486055133,-81.15259167,39.87966748
Peromyscus maniculatus,1.994552125,-0.002832951,-116.9342367,32.75666248
Peromyscus maniculatus,1.261409638,-0.755984864,-118.3088517,34.50617248
Peromyscus maniculatus,-1.563345236,-1.17880699,-111.0608817,43.67027248
Peromyscus maniculatus,0.592956195,0.512481515,-97.43969667,37.71360748
Peromyscus maniculatus,-0.506757535,0.349518821,-80.06956167,41.50421248
Peromyscus maniculatus,0.57139318,1.270037825,-86.19284667,34.71444748
Peromyscus maniculatus,0.010754808,-0.231861603,-122.6826267,45.41978248
